S.no,Name,Type,Weaknesses,Height,Weight,Gender,Category
#0024,Arbok,Poison,Ground/Psychic,3.5 m,65 kg,male/female,Cobra
#0025,Pikachu,Electric,Ground,0.4 m,6 kg,male/female,Mouse
#0026,Raichu,Electric,Ground,0.8 m,30 kg,male/female,Mouse
#0027,Sandshrew,Ground,Water/Grass/Ice,0.6 m,12 kg,male/female,Mouse
#0028,Sandslash,Ground,Water/Grass/Ice,1 m,29.5 kg,male/female,Mouse
#0029,Nidoran-F,Poison,Ground/Psychic,0.4 m,7 kg,female,Poison Pin
#0030,Nidorina,Poison,Ground/Psychic,0.8 m,20 kg,female,Poison Pin
#0031,Nidoqueen,Poison/Ground,Water/Ice/Ground/Psychic,1.3 m,60 kg,female,Drill
#0032,Nidoran-M,Poison,Ground/Psychic,0.5 m,9 kg,male,Poison Pin
#0033,Nidorino,Poison,Ground/Psychic,0.9 m,19.5 kg,male,Poison Pin
#0034,Nidoking,Poison/Ground,Water/Ice/Ground/Psychic,1.4 m,62 kg,male,Drill
#0035,Clefairy,Fairy,Poison/Steel,0.6 m,7.5 kg,male/female,Fairy
#0036,Clefable,Fairy,Poison/Steel,1.3 m,40 kg,male/female,Fairy
#0037,Vulpix,Fire,Water/Ground/Rock,0.6 m,9.9 kg,male/female,Fox
#0038,Ninetales,Fire,Water/Ground/Rock,1.1 m,19.9 kg,male/female,Fox
#0039,Jigglypuff,Normal/Fairy,Poison/Steel,0.5 m,5.5 kg,male/female,Balloon
#0040,Wigglytuff,Normal/Fairy,Poison/Steel,1 m,12 kg,male/female,Balloon
#0041,Zubat,Poison/Flying,Electric/Ice/Psychic/Rock,0.8 m,7.5 kg,male/female,Bat
#0042,Golbat,Poison/Flying,Electric/Ice/Psychic/Rock,1.6 m,55 kg,male/female,Bat
#0043,Oddish,Grass/Poison,Fire/Ice/Flying/Psychic,0.5 m,5.4 kg,male/female,Weed
#0044,Gloom,Grass/Poison,Fire/Ice/Flying/Psychic,0.8 m,8.6 kg,male/female,Weed
#0045,Vileplume,Grass/Poison,Fire/Ice/Flying/Psychic,1.2 m,18.6 kg,male/female,Flower
#0046,Paras,Bug/Grass,Fire/Ice/Poison/Flying/Bug/Rock,0.3 m,5.4 kg,male/female,Mushroom
#0047,Parasect,Bug/Grass,Fire/Ice/Poison/Flying/Bug/Rock,1 m,29.5 kg,male/female,Mushroom
#0048,Venonat,Bug/Poison,Fire/Flying/Psychic/Rock,1 m,30 kg,male/female,Insect
#0049,Venomoth,Bug/Poison,Fire/Flying/Psychic/Rock,1.5 m,12.5 kg,male/female,Poison Moth
#0050,Diglett,Ground,Water/Grass/Ice,0.2 m,0.8 kg,male/female,Mole
#0051,Dugtrio,Ground,Water/Grass/Ice,0.7 m,33.3 kg,male/female,Mole
#0052,Meowth,Normal,Fighting,0.4 m,4.2 kg,male/female,Scratch Cat
#0053,Persian,Normal,Fighting,1 m,32 kg,male/female,Classy Cat
#0054,Psyduck,Water,Electric/Grass,0.8 m,19.6 kg,male/female,Duck
#0055,Golduck,Water,Electric/Grass,1.7 m,76.6 kg,male/female,Duck
#0056,Mankey,Fighting,Flying/Psychic/Fairy,0.5 m,28 kg,male/female,Pig Monkey
#0057,Primeape,Fighting,Flying/Psychic/Fairy,1 m,32 kg,male/female,Pig Monkey
#0058,Growlithe,Fire,Water/Ground/Rock,0.7 m,19 kg,male/female,Puppy
#0059,Arcanine,Fire,Water/Ground/Rock,1.9 m,155 kg,male/female,Legendary
#0060,Poliwag,Water,Electric/Grass,0.6 m,12.4 kg,male/female,Tadpole
#0061,Poliwhirl,Water,Electric/Grass,1 m,20 kg,male/female,Tadpole
#0062,Poliwrath,Water/Fighting,Electric/Grass/Flying/Psychic/Fairy,1.3 m,54 kg,male/female,Tadpole
#0063,Abra,Psychic,Bug/Ghost/Dark,0.9 m,19.5 kg,male/female,Psi
#0064,Kadabra,Psychic,Bug/Ghost/Dark,1.3 m,56.5 kg,male/female,Psi
#0065,Alakazam,Psychic,Bug/Ghost/Dark,1.5 m,48 kg,male/female,Psi
#0066,Machop,Fighting,Flying/Psychic/Fairy,0.8 m,19.5 kg,male/female,Superpower
#0067,Machoke,Fighting,Flying/Psychic/Fairy,1.5 m,70.5 kg,male/female,Superpower
#0068,Machamp,Fighting,Flying/Psychic/Fairy,1.6 m,130 kg,male/female,Superpower
#0069,Bellsprout,Grass/Poison,Fire/Ice/Flying/Psychic,0.7 m,4 kg,male/female,Flower
#0070,Weepinbell,Grass/Poison,Fire/Ice/Flying/Psychic,1 m,6.4 kg,male/female,Flycatcher
#0071,Victreebel,Grass/Poison,Fire/Ice/Flying/Psychic,1.7 m,15.5 kg,male/female,Flycatcher
#0072,Tentacool,Water/Poison,Electric/Ground/Psychic,0.9 m,45.5 kg,male/female,Jellyfish
#0073,Tentacruel,Water/Poison,Electric/Ground/Psychic,1.6 m,55 kg,male/female,Jellyfish
#0074,Geodude,Rock/Ground,Water/Grass/Ice/Fighting/Ground/Steel,0.4 m,20 kg,male/female,Rock
#0075,Graveler,Rock/Ground,Water/Grass/Ice/Fighting/Ground/Steel,1 m,105 kg,male/female,Rock
#0076,Golem,Rock/Ground,Water/Grass/Ice/Fighting/Ground/Steel,1.4 m,300 kg,male/female,Megaton
#0077,Ponyta,Fire,Water/Ground/Rock,1 m,30 kg,male/female,Fire Horse
#0078,Rapidash,Fire,Water/Ground/Rock,1.7 m,95 kg,male/female,Fire Horse
#0079,Slowpoke,Water/Psychic,Electric/Grass/Bug/Ghost/Dark,1.2 m,36 kg,male/female,Dopey
#0080,Slowbro,Water/Psychic,Electric/Grass/Bug/Ghost/Dark,1.6 m,78.5 kg,male/female,Hermit Crab
#0081,Magnemite,Electric/Steel,Fire/Ground,0.3 m,6 kg,genderless,Magnet
#0082,Magneton,Electric/Steel,Fire/Ground,1 m,60 kg,genderless,Magnet
#0083,Farfetchd,Normal/Flying,Electric/Ice/Rock,0.8 m,15 kg,male/female,Wild Duck
#0084,Doduo,Normal/Flying,Electric/Ice/Rock,1.4 m,39.2 kg,male/female,Twin Bird
#0085,Dodrio,Normal/Flying,Electric/Ice/Rock,1.8 m,85.2 kg,male/female,Triple Bird
#0086,Seel,Water,Electric/Grass,1.1 m,90 kg,male/female,Sea Lion
#0087,Dewgong,Water/Ice,Electric/Grass/Fighting/Rock,1.7 m,120 kg,male/female,Sea Lion
#0088,Grimer,Poison,Ground/Psychic,0.9 m,30 kg,male/female,Sludge
#0089,Muk,Poison,Ground/Psychic,1.2 m,30 kg,male/female,Sludge
#0090,Shellder,Water,Electric/Grass,0.3 m,4 kg,male/female,Bivalve
#0091,Cloyster,Water/Ice,Electric/Grass/Fighting/Rock,1.5 m,132.5 kg,male/female,Bivalve
#0092,Gastly,Ghost/Poison,Ground/Psychic/Ghost/Dark,1.3 m,0.1 kg,male/female,Gas
#0093,Haunter,Ghost/Poison,Ground/Psychic/Ghost/Dark,1.6 m,0.1 kg,male/female,Gas
#0094,Gengar,Ghost/Poison,Ground/Psychic/Ghost/Dark,1.5 m,40.5 kg,male/female,Shadow
#0095,Onix,Rock/Ground,Water/Grass/Ice/Fighting/Ground/Steel,8.8 m,210 kg,male/female,Rock Snake
#0096,Drowzee,Psychic,Bug/Ghost/Dark,1 m,32.4 kg,male/female,Hypnosis
#0097,Hypno,Psychic,Bug/Ghost/Dark,1.6 m,75.6 kg,male/female,Hypnosis
#0098,Krabby,Water,Electric/Grass,0.4 m,6.5 kg,male/female,River Crab
#0099,Kingler,Water,Electric/Grass,1.3 m,60 kg,male/female,Pincer
#0100,Voltorb,Electric,Ground,0.5 m,10.4 kg,genderless,Ball
#0101,Electrode,Electric,Ground,1.2 m,66.6 kg,genderless,Ball
#0102,Exeggcute,Grass/Psychic,Fire/Ice/Poison/Flying/Bug/Ghost/Dark,0.4 m,2.5 kg,male/female,Egg
#0103,Exeggutor,Grass/Psychic,Fire/Ice/Poison/Flying/Bug/Ghost/Dark,2 m,120 kg,male/female,Coconut
#0104,Cubone,Ground,Water/Grass/Ice,0.4 m,6.5 kg,male/female,Lonely
#0105,Marowak,Ground,Water/Grass/Ice,1 m,45 kg,male/female,Bone Keeper
#0106,Hitmonlee,Fighting,Flying/Psychic/Fairy,1.5 m,49.8 kg,male,Kicking
#0107,Hitmonchan,Fighting,Flying/Psychic/Fairy,1.4 m,50.2 kg,male,Punching
#0108,Lickitung,Normal,Fighting,1.2 m,65.5 kg,male/female,Licking
#0109,Koffing,Poison,Ground/Psychic,0.6 m,1 kg,male/female,Poison Gas
#0110,Weezing,Poison,Ground/Psychic,1.2 m,9.5 kg,male/female,Poison Gas
#0111,Rhyhorn,Ground/Rock,Water/Grass/Ice/Fighting/Ground/Steel,1 m,115 kg,male/female,Spikes
#0112,Rhydon,Ground/Rock,Water/Grass/Ice/Fighting/Ground/Steel,1.9 m,120 kg,male/female,Drill
#0113,Chansey,Normal,Fighting,1.1 m,34.6 kg,female,Egg
#0114,Tangela,Grass,Fire/Ice/Poison/Flying/Bug,1 m,35 kg,male/female,Vine
#0115,Kangaskhan,Normal,Fighting,2.2 m,80 kg,female,Parent
#0116,Horsea,Water,Electric/Grass,0.4 m,8 kg,male/female,Dragon
#0117,Seadra,Water,Electric/Grass,1.2 m,25 kg,male/female,Dragon
#0118,Goldeen,Water,Electric/Grass,0.6 m,15 kg,male/female,Goldfish
#0119,Seaking,Water,Electric/Grass,1.3 m,39 kg,male/female,Goldfish
#0120,Staryu,Water,Electric/Grass,0.8 m,34.5 kg,genderless,Star Shape
#0121,Starmie,Water/Psychic,Electric/Grass/Bug/Ghost/Dark,1.1 m,80 kg,genderless,Mysterious
#0122,Mr-Mime,Psychic/Fairy,Poison/Ghost/Steel,1.3 m,54.5 kg,male/female,Barrier
#0123,Scyther,Bug/Flying,Fire/Electric/Ice/Flying/Rock,1.5 m,56 kg,male/female,Mantis
#0124,Jynx,Ice/Psychic,Fire/Bug/Rock/Ghost/Dark/Steel,1.4 m,40.6 kg,female,Human Shape
#0125,Electabuzz,Electric,Ground,1.1 m,30 kg,male/female,Electric
#0126,Magmar,Fire,Water/Ground/Rock,1.3 m,44.5 kg,male/female,Spitfire
#0127,Pinsir,Bug,Fire/Flying/Rock,1.5 m,55 kg,male/female,Stag Beetle
#0128,Tauros,Normal,Fighting,1.4 m,88.4 kg,male,Wild Bull
#0129,Magikarp,Water,Electric/Grass,0.9 m,10 kg,male/female,Fish
#0130,Gyarados,Water/Flying,Electric/Rock,6.5 m,235 kg,male/female,Atrocious
#0131,Lapras,Water/Ice,Electric/Grass/Fighting/Rock,2.5 m,220 kg,male/female,Transport
#0132,Ditto,Normal,Fighting,0.3 m,4 kg,genderless,Transform
#0133,Eevee,Normal,Fighting,0.3 m,6.5 kg,male/female,Evolution
#0134,Vaporeon,Water,Electric/Grass,1 m,29 kg,male/female,Bubble Jet
#0135,Jolteon,Electric,Ground,0.8 m,24.5 kg,male/female,Lightning
#0136,Flareon,Fire,Water/Ground/Rock,0.9 m,25 kg,male/female,Flame
#0137,Porygon,Normal,Fighting,0.8 m,36.5 kg,genderless,Virtual
#0138,Omanyte,Rock/Water,Electric/Grass/Fighting/Ground,0.4 m,7.5 kg,male/female,Spiral
#0139,Omastar,Rock/Water,Electric/Grass/Fighting/Ground,1 m,35 kg,male/female,Spiral
#0140,Kabuto,Rock/Water,Electric/Grass/Fighting/Ground,0.5 m,11.5 kg,male/female,Shellfish
#0141,Kabutops,Rock/Water,Electric/Grass/Fighting/Ground,1.3 m,40.5 kg,male/female,Shellfish
#0142,Aerodactyl,Rock/Flying,Water/Electric/Ice/Rock/Steel,1.8 m,59 kg,male/female,Fossil
#0143,Snorlax,Normal,Fighting,2.1 m,460 kg,male/female,Sleeping
#0144,Articuno,Ice/Flying,Fire/Electric/Rock/Steel,1.7 m,55.4 kg,genderless,Freeze
#0145,Zapdos,Electric/Flying,Ice/Rock,1.6 m,52.6 kg,genderless,Electric
#0146,Moltres,Fire/Flying,Water/Electric/Rock,2 m,60 kg,genderless,Flame
#0147,Dratini,Dragon,Ice/Dragon/Fairy,1.8 m,3.3 kg,male/female,Dragon
#0148,Dragonair,Dragon,Ice/Dragon/Fairy,4 m,16.5 kg,male/female,Dragon
#0149,Dragonite,Dragon/Flying,Ice/Rock/Dragon/Fairy,2.2 m,210 kg,male/female,Dragon
#0150,Mewtwo,Psychic,Bug/Ghost/Dark,2 m,122 kg,genderless,Genetic
#0151,Mew,Psychic,Bug/Ghost/Dark,0.4 m,4 kg,genderless,New Species
#0152,Chikorita,Grass,Fire/Ice/Poison/Flying/Bug,0.9 m,6.4 kg,male/female,Leaf
#0153,Bayleef,Grass,Fire/Ice/Poison/Flying/Bug,1.2 m,15.8 kg,male/female,Leaf
#0154,Meganium,Grass,Fire/Ice/Poison/Flying/Bug,1.8 m,100.5 kg,male/female,Herb
#0155,Cyndaquil,Fire,Water/Ground/Rock,0.5 m,7.9 kg,male/female,Fire Mouse
#0156,Quilava,Fire,Water/Ground/Rock,0.9 m,19 kg,male/female,Volcano
#0157,Typhlosion,Fire,Water/Ground/Rock,1.7 m,79.5 kg,male/female,Volcano
#0158,Totodile,Water,Electric/Grass,0.6 m,9.5 kg,male/female,Big Jaw
#0159,Croconaw,Water,Electric/Grass,1.1 m,25 kg,male/female,Big Jaw
#0160,Feraligatr,Water,Electric/Grass,2.3 m,88.8 kg,male/female,Big Jaw
#0161,Sentret,Normal,Fighting,0.8 m,6 kg,male/female,Scout
#0162,Furret,Normal,Fighting,1.8 m,32.5 kg,male/female,Long Body
#0163,Hoothoot,Normal/Flying,Electric/Ice/Rock,0.7 m,21.2 kg,male/female,Owl
#0164,Noctowl,Normal/Flying,Electric/Ice/Rock,1.6 m,40.8 kg,male/female,Owl
#0165,Ledyba,Bug/Flying,Fire/Electric/Ice/Flying/Rock,1 m,10.8 kg,male/female,Five Star
#0166,Ledian,Bug/Flying,Fire/Electric/Ice/Flying/Rock,1.4 m,35.6 kg,male/female,Five Star
#0167,Spinarak,Bug/Poison,Fire/Flying/Psychic/Rock,0.5 m,8.5 kg,male/female,String Spit
#0168,Ariados,Bug/Poison,Fire/Flying/Psychic/Rock,1.1 m,33.5 kg,male/female,Long Leg
#0169,Crobat,Poison/Flying,Electric/Ice/Psychic/Rock,1.8 m,75 kg,male/female,Bat
#0170,Chinchou,Water/Electric,Grass/Ground,0.5 m,12 kg,male/female,Angler
#0171,Lanturn,Water/Electric,Grass/Ground,1.2 m,22.5 kg,male/female,Light
#0172,Pichu,Electric,Ground,0.3 m,2 kg,male/female,Tiny Mouse
#0173,Cleffa,Fairy,Poison/Steel,0.3 m,3 kg,male/female,Star Shape
#0174,Igglybuff,Normal/Fairy,Poison/Steel,0.3 m,1 kg,male/female,Balloon
#0175,Togepi,Fairy,Poison/Steel,0.3 m,1.5 kg,male/female,Spike Ball
#0176,Togetic,Fairy/Flying,Electric/Ice/Poison/Rock/Steel,0.6 m,3.2 kg,male/female,Happiness
#0177,Natu,Psychic/Flying,Electric/Ice/Rock/Ghost/Dark,0.2 m,2 kg,male/female,Tiny Bird
#0178,Xatu,Psychic/Flying,Electric/Ice/Rock/Ghost/Dark,1.5 m,15 kg,male/female,Mystic
#0179,Mareep,Electric,Ground,0.6 m,7.8 kg,male/female,Wool
#0180,Flaaffy,Electric,Ground,0.8 m,13.3 kg,male/female,Wool
#0181,Ampharos,Electric,Ground,1.4 m,61.5 kg,male/female,Light
#0182,Bellossom,Grass,Fire/Ice/Poison/Flying/Bug,0.4 m,5.8 kg,male/female,Flower
#0183,Marill,Water/Fairy,Electric/Grass/Poison,0.4 m,8.5 kg,male/female,Aqua Mouse
#0184,Azumarill,Water/Fairy,Electric/Grass/Poison,0.8 m,28.5 kg,male/female,Aqua Rabbit
#0185,Sudowoodo,Rock,Water/Grass/Fighting/Ground/Steel,1.2 m,38 kg,male/female,Imitation
#0186,Politoed,Water,Electric/Grass,1.1 m,33.9 kg,male/female,Frog
#0187,Hoppip,Grass/Flying,Fire/Ice/Poison/Flying/Rock,0.4 m,0.5 kg,male/female,Cottonweed
#0188,Skiploom,Grass/Flying,Fire/Ice/Poison/Flying/Rock,0.6 m,1 kg,male/female,Cottonweed
#0189,Jumpluff,Grass/Flying,Fire/Ice/Poison/Flying/Rock,0.8 m,3 kg,male/female,Cottonweed
#0190,Aipom,Normal,Fighting,0.8 m,11.5 kg,male/female,Long Tail
#0191,Sunkern,Grass,Fire/Ice/Poison/Flying/Bug,0.3 m,1.8 kg,male/female,Seed
#0192,Sunflora,Grass,Fire/Ice/Poison/Flying/Bug,0.8 m,8.5 kg,male/female,Sun
#0193,Yanma,Bug/Flying,Fire/Electric/Ice/Flying/Rock,1.2 m,38 kg,male/female,Clear Wing
#0194,Wooper,Water/Ground,Grass,0.4 m,8.5 kg,male/female,Water Fish
#0195,Quagsire,Water/Ground,Grass,1.4 m,75 kg,male/female,Water Fish
#0196,Espeon,Psychic,Bug/Ghost/Dark,0.9 m,26.5 kg,male/female,Sun
#0197,Umbreon,Dark,Fighting/Bug/Fairy,1 m,27 kg,male/female,Moonlight
#0198,Murkrow,Dark/Flying,Electric/Ice/Rock/Fairy,0.5 m,2.1 kg,male/female,Darkness
#0199,Slowking,Water/Psychic,Electric/Grass/Bug/Ghost/Dark,2 m,79.5 kg,male/female,Royal
#0200,Misdreavus,Ghost,Ghost/Dark,0.7 m,1 kg,male/female,Screech
#0201,Unown,Psychic,Bug/Ghost/Dark,0.5 m,5 kg,genderless,Symbol
#0202,Wobbuffet,Psychic,Bug/Ghost/Dark,1.3 m,28.5 kg,male/female,Patient
#0203,Girafarig,Normal/Psychic,Bug/Dark,1.5 m,41.5 kg,male/female,Long Neck
#0204,Pineco,Bug,Fire/Flying/Rock,0.6 m,7.2 kg,male/female,Bagworm
#0205,Forretress,Bug/Steel,Fire,1.2 m,125.8 kg,male/female,Bagworm
#0206,Dunsparce,Normal,Fighting,1.5 m,14 kg,male/female,Land Snake
#0207,Gligar,Ground/Flying,Water/Ice,1.1 m,64.8 kg,male/female,Fly Scorpion
#0208,Steelix,Steel/Ground,Fire/Water/Ground,9.2 m,400 kg,male/female,Iron Snake
#0209,Snubbull,Fairy,Poison/Steel,0.6 m,7.8 kg,male/female,Fairy
#0210,Granbull,Fairy,Poison/Steel,1.4 m,48.7 kg,male/female,Fairy
#0211,Qwilfish,Water/Poison,Electric/Ground/Psychic,0.5 m,3.9 kg,male/female,Balloon
#0212,Scizor,Bug/Steel,Fire,1.8 m,118 kg,male/female,Pincer
#0213,Shuckle,Bug/Rock,Water/Rock/Steel,0.6 m,20.5 kg,male/female,Mold
#0214,Heracross,Bug/Fighting,Fire/Flying/Psychic/Fairy,1.5 m,54 kg,male/female,Single Horn
#0215,Sneasel,Dark/Ice,Fire/Fighting/Bug/Rock/Steel/Fairy,0.9 m,28 kg,male/female,Sharp Claw
#0216,Teddiursa,Normal,Fighting,0.6 m,8.8 kg,male/female,Little Bear
#0217,Ursaring,Normal,Fighting,1.8 m,125.8 kg,male/female,Hibernator
#0218,Slugma,Fire,Water/Ground/Rock,0.7 m,35 kg,male/female,Lava
#0219,Magcargo,Fire/Rock,Water/Fighting/Ground/Rock,0.8 m,55 kg,male/female,Lava
#0220,Swinub,Ice/Ground,Fire/Water/Grass/Fighting/Steel,0.4 m,6.5 kg,male/female,Pig
#0221,Piloswine,Ice/Ground,Fire/Water/Grass/Fighting/Steel,1.1 m,55.8 kg,male/female,Swine
#0222,Corsola,Water/Rock,Electric/Grass/Fighting/Ground,0.6 m,5 kg,male/female,Coral
#0223,Remoraid,Water,Electric/Grass,0.6 m,12 kg,male/female,Jet
#0224,Octillery,Water,Electric/Grass,0.9 m,28.5 kg,male/female,Jet
#0225,Delibird,Ice/Flying,Fire/Electric/Rock/Steel,0.9 m,16 kg,male/female,Delivery
#0226,Mantine,Water/Flying,Electric/Rock,2.1 m,220 kg,male/female,Kite
#0227,Skarmory,Steel/Flying,Fire/Electric,1.7 m,50.5 kg,male/female,Armor Bird
#0228,Houndour,Dark/Fire,Water/Fighting/Ground/Rock,0.6 m,10.8 kg,male/female,Dark
#0229,Houndoom,Dark/Fire,Water/Fighting/Ground/Rock,1.4 m,35 kg,male/female,Dark
#0230,Kingdra,Water/Dragon,Dragon/Fairy,1.8 m,152 kg,male/female,Dragon
#0231,Phanpy,Ground,Water/Grass/Ice,0.5 m,33.5 kg,male/female,Long Nose
#0232,Donphan,Ground,Water/Grass/Ice,1.1 m,120 kg,male/female,Armor
#0233,Porygon2,Normal,Fighting,0.6 m,32.5 kg,genderless,Virtual
#0234,Stantler,Normal,Fighting,1.4 m,71.2 kg,male/female,Big Horn
#0235,Smeargle,Normal,Fighting,1.2 m,58 kg,male/female,Painter
#0236,Tyrogue,Fighting,Flying/Psychic/Fairy,0.7 m,21 kg,male,Scuffle
#0237,Hitmontop,Fighting,Flying/Psychic/Fairy,1.4 m,48 kg,male,Handstand
#0238,Smoochum,Ice/Psychic,Fire/Bug/Rock/Ghost/Dark/Steel,0.4 m,6 kg,female,Kiss
#0239,Elekid,Electric,Ground,0.6 m,23.5 kg,male/female,Electric
#0240,Magby,Fire,Water/Ground/Rock,0.7 m,21.4 kg,male/female,Live Coal
#0241,Miltank,Normal,Fighting,1.2 m,75.5 kg,female,Milk Cow
#0242,Blissey,Normal,Fighting,1.5 m,46.8 kg,female,Happiness
#0243,Raikou,Electric,Ground,1.9 m,178 kg,genderless,Thunder
#0244,Entei,Fire,Water/Ground/Rock,2.1 m,198 kg,genderless,Volcano
#0245,Suicune,Water,Electric/Grass,2 m,187 kg,genderless,Aurora
#0246,Larvitar,Rock/Ground,Water/Grass/Ice/Fighting/Ground/Steel,0.6 m,72 kg,male/female,Rock Skin
#0247,Pupitar,Rock/Ground,Water/Grass/Ice/Fighting/Ground/Steel,1.2 m,152 kg,male/female,Hard Shell
#0248,Tyranitar,Rock/Dark,Water/Grass/Fighting/Ground/Bug/Steel/Fairy,2 m,202 kg,male/female,Armor
#0249,Lugia,Psychic/Flying,Electric/Ice/Rock/Ghost/Dark,5.2 m,216 kg,genderless,Diving
#0250,Ho-Oh,Fire/Flying,Water/Electric/Rock,3.8 m,199 kg,genderless,Rainbow
#0251,Celebi,Psychic/Grass,Fire/Ice/Poison/Flying/Bug/Ghost/Dark,0.6 m,5 kg,genderless,Time Travel
#0252,Treecko,Grass,Fire/Ice/Poison/Flying/Bug,0.5 m,5 kg,male/female,Wood Gecko
#0253,Grovyle,Grass,Fire/Ice/Poison/Flying/Bug,0.9 m,21.6 kg,male/female,Wood Gecko
#0254,Sceptile,Grass,Fire/Ice/Poison/Flying/Bug,1.7 m,52.2 kg,male/female,Forest
#0255,Torchic,Fire,Water/Ground/Rock,0.4 m,2.5 kg,male/female,Chick
#0256,Combusken,Fire/Fighting,Water/Ground/Flying/Psychic,0.9 m,19.5 kg,male/female,Young Fowl
#0257,Blaziken,Fire/Fighting,Water/Ground/Flying/Psychic,1.9 m,52 kg,male/female,Blaze
#0258,Mudkip,Water,Electric/Grass,0.4 m,7.6 kg,male/female,Mud Fish
#0259,Marshtomp,Water/Ground,Grass,0.7 m,28 kg,male/female,Mud Fish
#0260,Swampert,Water/Ground,Grass,1.5 m,81.9 kg,male/female,Mud Fish
#0261,Poochyena,Dark,Fighting/Bug/Fairy,0.5 m,13.6 kg,male/female,Bite
#0262,Mightyena,Dark,Fighting/Bug/Fairy,1 m,37 kg,male/female,Bite
#0263,Zigzagoon,Normal,Fighting,0.4 m,17.5 kg,male/female,Tiny Raccoon
#0264,Linoone,Normal,Fighting,0.5 m,32.5 kg,male/female,Rushing
#0265,Wurmple,Bug,Fire/Flying/Rock,0.3 m,3.6 kg,male/female,Worm
#0266,Silcoon,Bug,Fire/Flying/Rock,0.6 m,10 kg,male/female,Cocoon
#0267,Beautifly,Bug/Flying,Fire/Electric/Ice/Flying/Rock,1 m,28.4 kg,male/female,Butterfly
#0268,Cascoon,Bug,Fire/Flying/Rock,0.7 m,11.5 kg,male/female,Cocoon
#0269,Dustox,Bug/Poison,Fire/Flying/Psychic/Rock,1.2 m,31.6 kg,male/female,Poison Moth
#0270,Lotad,Water/Grass,Poison/Flying/Bug,0.5 m,2.6 kg,male/female,Water Weed
#0271,Lombre,Water/Grass,Poison/Flying/Bug,1.2 m,32.5 kg,male/female,Jolly
#0272,Ludicolo,Water/Grass,Poison/Flying/Bug,1.5 m,55 kg,male/female,Carefree
#0273,Seedot,Grass,Fire/Ice/Poison/Flying/Bug,0.5 m,4 kg,male/female,Acorn
#0274,Nuzleaf,Grass/Dark,Fire/Ice/Fighting/Poison/Flying/Bug/Fairy,1 m,28 kg,male/female,Wily
#0275,Shiftry,Grass/Dark,Fire/Ice/Fighting/Poison/Flying/Bug/Fairy,1.3 m,59.6 kg,male/female,Wicked
#0276,Taillow,Normal/Flying,Electric/Ice/Rock,0.3 m,2.3 kg,male/female,Tiny Swallow
#0277,Swellow,Normal/Flying,Electric/Ice/Rock,0.7 m,19.8 kg,male/female,Swallow
#0278,Wingull,Water/Flying,Electric/Rock,0.6 m,9.5 kg,male/female,Seagull
#0279,Pelipper,Water/Flying,Electric/Rock,1.2 m,28 kg,male/female,Water Bird
#0280,Ralts,Psychic/Fairy,Poison/Ghost/Steel,0.4 m,6.6 kg,male/female,Feeling
#0281,Kirlia,Psychic/Fairy,Poison/Ghost/Steel,0.8 m,20.2 kg,male/female,Emotion
